"DATA_YEAR","ARRESTEE_ID","WEAPON_ID","NIBRS_ARRESTEE_WEAPON_ID"
2020,39263009,1,39483414
2020,39253698,1,39483421
2020,39253703,3,39483425
2020,39253721,1,39474210
2020,39263044,1,39483445
2020,39263068,1,39483465
2020,39482579,8,39690045
2020,38562600,1,38645823
2020,39195719,1,39419427
2020,39192017,1,39422565
2020,39195772,1,39422602
2020,39195854,1,39422684
2020,39195858,1,39419564
2020,39192138,1,39422689
2020,39195861,1,39419567
2020,39192148,1,39422698
2020,39192150,1,39419575
2020,39195888,1,39419588
2020,39195890,1,39419589
2020,39192206,1,39419634
2020,39192214,1,39422772
2020,39196005,1,39422848
2020,39192308,1,39422863
2020,39196014,1,39422868
2020,39192340,1,39422892
2020,39192342,1,39419742
2020,39196047,7,39419750
2020,39196081,1,39422960
2020,39196083,1,39422964
2020,39192415,2,39419785
2020,39192438,1,39422993
2020,39192444,1,39423001
2020,39196117,8,39419817
2020,39192469,1,39423024
2020,39196133,1,39423037
2020,39192481,1,39423040
2020,39196137,1,39423043
2020,39192483,1,39423042
2020,39196143,1,39423049
2020,39192512,1,39419861
2020,39192516,1,39423088
2020,39196179,1,39419864
2020,39192521,1,39423091
2020,39192527,1,39423095
2020,39196196,1,39419887
2020,39192554,1,39423123
2020,39196226,1,39419910
2020,39196229,1,39423169
2020,39192613,1,39423189
2020,39196249,1,39419929
2020,39192643,1,39423219
2020,39192648,1,39423223
2020,39192659,1,39424958
2020,39192668,1,39423248
2020,39192686,1,39423266
2020,39196312,1,39423284
2020,39196323,1,39424991
2020,39192712,1,39423301
2020,39196328,1,39424996
2020,39192783,1,39425047
2020,39192798,1,39423381
2020,39192804,1,39425054
2020,39196392,1,39425072
2020,39192837,1,39423414
2020,39196396,1,39425075
2020,39196450,1,39423484
2020,39192919,1,39423492
2020,39196476,1,39423546
2020,39196494,8,39425177
2020,39196495,1,39425178
2020,39193021,1,39423601
2020,39193022,1,39423604
2020,39193049,1,39423624
2020,39196526,1,39425208
2020,39196534,1,39423629
2020,39196540,1,39423639
2020,39193079,1,39425227
2020,39193105,1,39423679
2020,39196559,1,39423688
2020,39196574,1,39425258
2020,39196583,1,39425267
2020,39193198,1,39423769
2020,39193253,1,39423816
2020,39191476,1,39422042
2020,39195366,1,39419060
2020,39195432,1,39419120
2020,39195450,1,39419148
2020,39195452,1,39422177
2020,39195459,1,39419160
2020,39191642,1,39422195
2020,39191695,1,39422249
2020,39191701,1,39422257
2020,39195513,1,39419215
2020,39195512,1,39419214
2020,39191713,1,39422268
2020,39191730,1,39422280
2020,39195545,1,39422309
2020,39195546,1,39422310
2020,39191772,1,39422327
2020,39195569,1,39419276
2020,39191807,1,39422366
2020,39191822,1,39422379
2020,39191839,1,39422392
2020,39191850,1,39422400
2020,39191849,1,39419327
2020,39191882,1,39422433
2020,39191893,1,39422446
2020,39195662,1,39422452
2020,39191907,1,39422460
2020,39191915,1,39419374
2020,39191919,1,39419375
2020,39191932,1,39422483
2020,39195686,1,39419390
2020,39195702,1,39419406
2020,39191965,1,39419404
2020,39196344,1,39425011
2020,39196378,1,39423385
2020,39192807,1,39423389
2020,39196383,1,39425058
2020,39192817,1,39425065
2020,39192855,1,39423428
2020,39192861,1,39425098
2020,39196458,1,39425140
2020,39196464,1,39423509
2020,39196484,1,39425167
2020,39192989,1,39425172
2020,39196511,1,39423594
2020,39196531,1,39425212
2020,39193122,1,39425253
2020,39196573,1,39425257
2020,39193176,1,39423746
2020,39196600,1,39425287
2020,39196604,1,39425291
2020,39193240,1,39423802
2020,39193257,1,39425337
2020,39193277,1,39425354
2020,39196656,7,39425352
2020,39193282,1,39423840
2020,38759378,1,38942059
2020,38759387,1,38942071
2020,38759397,1,38927399
2020,38781808,1,38942080
2020,38781816,1,38927407
2020,38781817,1,38942091
2020,38781819,1,38942096
2020,38759416,1,38927416
2020,38759426,1,38942111
2020,38781840,1,38927429
2020,38781839,1,38927428
2020,38759428,1,38942115
2020,38759433,7,38942118
2020,38759440,1,38927451
2020,38781868,1,38927456
2020,38759451,1,38942139
2020,38759455,1,38927466
2020,38759462,1,38942147
2020,38759471,1,38942154
2020,38609917,1,38690668
2020,38609924,1,38690673
2020,38609945,1,38690695
2020,38605960,1,38686191
2020,38609949,1,38690698
2020,38605976,1,38686206
2020,38605978,1,38686208
2020,38605989,1,38686217
2020,38609984,1,38690734
2020,38609995,1,38690744
2020,38609993,1,38690742
2020,38609999,1,38690749
2020,38610013,1,38690765
2020,38606009,1,38686238
2020,38610023,1,38690774
2020,38606008,1,38686237
2020,38610031,1,38686241
2020,38610045,1,38686247
2020,38606017,1,38686248
2020,38610064,1,38690814
2020,38606023,1,38686255
2020,38610068,1,38690817
2020,38610074,7,38690824
2020,38610024,1,38690775
2020,38609979,3,38690729
2020,38605994,1,38686225
2020,38610038,3,38690790
2020,38610059,1,38690809
2020,38610063,3,38690813
2020,39196750,1,39425448
2020,39196758,1,39425455
2020,39196777,1,39425473
2020,39196798,1,39425496
2020,39193323,1,39423882
2020,39196983,1,39425683
2020,39196984,1,39425684
2020,39196993,1,39425692
2020,39197006,1,39425705
2020,39193334,1,39425865
2020,39197187,1,39425892
2020,39197204,7,39423897
2020,39193348,1,39425923
2020,39193353,1,39425951
2020,39197248,1,39425954
2020,39193362,1,39425988
2020,39197324,1,39426037
2020,39197334,1,39426047
2020,39197340,1,39426054
2020,39197356,1,39426070
2020,39197485,1,39426200
2020,39193390,1,39426247
2020,39197601,1,39426318
2020,39193507,1,39424048
2020,39198166,1,39426881
2020,39198200,1,39426916
2020,39193516,1,39426938
2020,39198293,1,39427007
2020,39198305,1,39427017
2020,39193524,1,39427061
2020,39198388,1,39427098
2020,39193530,1,39427099
2020,39198403,1,39427113
2020,39198487,1,39427195
2020,39198500,1,39427209
2020,39198552,1,39427257
2020,39198664,1,39427365
2020,39198692,1,39427390
2020,39198702,1,39427401
2020,39198721,1,39427418
2020,39193612,1,39424175
2020,39193613,1,39424177
2020,39193615,1,39424179
2020,39193625,1,39424187
2020,39198913,1,39427613
2020,39198926,1,39427622
2020,38609982,1,38690732
2020,38609988,1,38690738
2020,38605999,1,38690757
2020,38606001,1,38686231
2020,38610032,1,38690786
2020,38610057,1,38690806
2020,38610066,1,38686254
2020,40658217,1,41013680
2020,40652112,1,41021549
2020,40652121,1,41021562
2020,40658230,1,41021563
2020,40658275,1,41013736
2020,40652172,1,41021605
2020,40652180,1,41013762
2020,40658320,1,41021639
2020,40652216,1,41021656
2020,40658411,1,41013874
2020,40658412,1,41013875
