"DATA_YEAR","ARRESTEE_ID","INCIDENT_ID","ARRESTEE_SEQ_NUM","ARREST_DATE","ARREST_TYPE_ID","MULTIPLE_INDICATOR","OFFENSE_TYPE_ID","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","RESIDENT_CODE","UNDER_18_DISPOSITION_CODE","CLEARANCE_IND","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2020,39198796,126772781,1,25-JUN-20,1,"N",27,5,24,"M",1,1,"R","","",24,0
2020,39198910,126782969,1,30-JUN-20,2,"N",6,5,29,"M",3,2,"N","","",29,0
2020,39198925,126783029,1,30-JUN-20,2,"N",23,5,50,"M",1,1,"R","","",50,0
2020,39027534,126371747,1,01-FEB-20,1,"N",49,5,29,"M",3,2,"N","","",29,0
2020,39027540,126371756,1,02-FEB-20,1,"N",29,5,24,"M",3,2,"R","","",24,0
2020,39027582,126371860,1,09-FEB-20,3,"N",16,5,49,"M",3,2,"R","","",49,0
2020,39027607,126371940,1,14-FEB-20,1,"N",51,5,27,"M",3,2,"N","","",27,0
2020,39027628,126372046,1,16-FEB-20,3,"N",16,5,33,"M",3,2,"R","","",33,0
2020,39027635,126372067,1,17-FEB-20,1,"N",29,5,23,"M",1,2,"N","","",23,0
2020,39027651,126372106,1,20-FEB-20,3,"N",51,5,26,"M",3,2,"N","","",26,0
2020,39027665,126372131,1,23-FEB-20,1,"N",23,5,50,"M",3,2,"R","","",50,0
2020,39027668,126372138,1,23-FEB-20,3,"N",16,5,41,"M",3,2,"R","","",41,0
2020,39027726,126372291,1,26-FEB-20,1,"N",28,5,40,"M",1,2,"R","","",40,0
2020,39027770,126372368,1,07-MAR-20,1,"N",51,5,17,"M",3,2,"R","R","",17,0
2020,39027794,126372409,1,11-MAR-20,1,"N",51,5,49,"M",3,2,"R","","",49,0
2020,39027838,126372518,1,18-MAR-20,1,"N",35,5,21,"F",3,2,"R","","",21,0
2020,39027884,126372603,1,26-MAR-20,1,"N",51,5,37,"M",3,2,"R","","",37,0
2020,39680685,128337767,1,26-APR-20,1,"C",45,5,16,"M",1,1,"R","H","",16,0
2020,39680689,128337887,1,12-AUG-20,1,"C",46,5,59,"M",1,2,"U","","",59,0
2020,39680694,128333200,1,27-AUG-20,1,"C",21,5,29,"M",1,1,"R","","",29,0
2020,39680700,128337955,1,12-JUN-20,1,"N",39,5,42,"M",1,1,"R","","",42,0
2020,39680710,128337987,1,10-AUG-20,1,"N",16,5,50,"M",1,2,"R","","",50,0
2020,39678359,128338023,1,20-AUG-20,3,"N",27,5,29,"F",1,1,"R","","",29,0
2020,39680721,128338048,1,25-AUG-20,2,"N",23,5,50,"M",2,2,"R","","",50,0
2020,39678379,128338072,1,15-AUG-20,2,"N",51,5,20,"M",2,2,"R","","",20,0
2020,38908483,125873408,1,08-JUN-20,1,"N",29,5,27,"M",3,2,"R","","",27,0
2020,38908509,125873473,1,15-JUN-20,1,"N",16,5,36,"M",1,1,"R","","",36,0
2020,38908550,125873569,1,23-JUN-20,3,"N",27,5,37,"M",3,2,"R","","",37,0
2020,39337158,127198011,1,26-JUL-20,3,"N",39,5,46,"F",1,1,"R","","",46,0
2020,39337220,127198210,1,11-JUL-20,2,"N",14,5,49,"F",1,1,"R","","",49,0
2020,39337244,127198275,1,04-JUL-20,2,"C",51,5,33,"M",2,2,"R","","",33,0
2020,39337255,127198319,1,06-JUL-20,2,"C",51,5,45,"M",1,1,"R","","",45,0
2020,40073571,129651279,1,09-SEP-20,1,"N",35,5,29,"F",1,2,"R","","",29,0
2020,40076282,129649469,1,15-SEP-20,1,"N",27,5,45,"M",3,2,"R","","",45,0
